,City,Rank,Sunshine hours(City),Cost of a bottle of water(City)(£),Obesity levels(Country),Life expectancy(years) (Country),Pollution(Index score %) (City),Annual avg. hours worked,Happiness levels(City),Outdoor activities(City),Number of take out places(City),Cost of a monthly gym membership(City)(£),Avg Age (city),Population Size,PIB Per Capita,Life cost £(1 person) (city),Avg AnnualPrecipitation (mm),Avg Temperature,Infant mortality rate (IMR),Avg beer price (£),level of public security
0,Amsterdam,1,1858.0,1.92,20.4,81.2,30.93,1434.0,7.41,422,1048,34.9,43.7,87300,38370,2900,838,10.4,3.4,4.5,75.8
1,Sydney,2,2636.0,1.48,29.0,82.1,26.86,1712.0,7.13,406,1103,41.66,38.7,5367206,39890,3000,1218,17.3,2.8,6.0,57.3
2,Vienna,3,1884.0,1.94,20.1,81.0,17.33,1501.0,6.99,132,1008,25.74,43.9,1931593,33890,2500,594,10.6,2.9,3.5,80.8
3,Stockholm,4,1821.0,1.72,20.6,81.8,19.63,1452.0,7.37,129,598,37.31,40.7,975000,42940,2800,539,6.8,2.6,6.5,84.7
4,Copenhagen,5,1630.0,2.19,19.7,79.8,21.24,1380.0,7.53,154,523,32.53,39.5,794128,42350,2800,611,12.5,3.6,5.5,84.1
5,Helsinki,6,1662.0,1.6,22.2,80.4,13.08,1540.0,7.82,113,309,35.23,42.4,656229,33120,2400,661,8.6,2.3,6.0,84.7
6,Fukuoka,7,2769.0,0.78,4.3,83.2,50.780909090909084,1644.0,7.39,35,539,55.87,45.3,1532935,16600,1800,2080,23.5,1.9,4.0,77.8
7,Berlin,8,1626.0,1.55,22.3,80.6,39.41,1386.0,6.58,254,1729,26.11,42.7,3769495,29830,2100,570,12.5,3.3,3.5,65.4
8,Barcelona,9,2591.0,1.19,23.8,82.2,65.19,1686.0,6.38,585,2344,37.8,43.2,1662000,23120,2200,627,18.7,2.7,4.0,68.8
9,Vancouver,10,1938.0,1.08,29.4,81.7,24.26,1670.0,5.95,218,788,31.04,39.6,675218,38880,2700,1151,12.5,4.0,5.0,87.6
10,Melbourne,11,2363.0,1.57,29.0,82.1,25.9,1712.0,7.3,243,813,36.89,37.4,5077000,36250,2400,646,14.8,2.6,4.5,80.8
11,Beijing,12,2671.0,0.26,6.2,75.4,85.43,1675.7058823529412,5.22,223,261,38.62,36.7,21516000,8310,1300,382,19.3,8.1,1.5,67.9
12,Bangkok,13,2624.0,0.22,10.0,74.1,76.64,1675.7058823529412,6.33,377,1796,50.03,36.2,10785183,3930,1000,1468,27.3,8.8,2.0,50.4
13,Buenos Aires,14,2525.0,0.57,28.3,75.9,52.64,1675.7058823529412,6.32,246,1435,22.45,34.7,2891000,8510,1100,991,16.3,7.1,1.5,39.5
14,Toronto,15,2066.0,1.09,29.4,81.7,37.83,1670.0,7.29,174,1656,32.64,39.1,2731571,35620,2600,831,15.4,4.3,5.0,69.2
15,Madrid,16,2769.0,1.3,23.8,82.2,52.68,1686.0,6.5,216,2491,34.54,43.5,3334730,26460,2200,435,20.6,2.7,3.0,57.9
16,Jakarta,17,2983.0,0.21,6.9,68.5,84.39,1675.7058823529412,5.28,114,833,29.94,28.9,10562088,2250,700,1698,27.3,19.7,1.5,45.8
17,Seoul,18,2066.0,0.59,4.7,81.3,57.82,1967.0,5.94,144,389,43.03,41.2,9730000,23830,2000,1377,22.4,2.7,3.5,70.5
18,Frankfurt,19,1662.0,1.95,22.3,80.6,37.78,1386.0,7.07,23,551,39.01,42.1,753056,34470,2200,648,13.5,3.1,3.5,76.3
19,Geneva,20,2258.590909090909,2.62,19.5,82.6,27.25,1557.0,7.56,44,444,70.0,43.2,201818,51900,3000,1100,10.2,3.3,6.5,87.3
20,Tel Aviv,21,3311.0,1.63,26.1,81.9,47.28,1898.0,7.46,139,420,58.31,36.7,451523,27770,3000,533,24.1,2.8,5.0,77.2
21,Istanbul,22,2218.0,0.15,32.1,74.7,69.49,1832.0,5.44,419,934,16.97,32.1,15519267,6170,1000,765,21.9,11.3,2.0,49.3
22,Cairo,23,3542.0,0.16,32.0,70.7,91.74,1675.7058823529412,4.08,323,250,23.25,23.6,9489000,3250,500,25,28.6,20.9,1.5,33.9
23,Taipei,24,1405.0,0.57,6.2,75.4,49.32,1675.7058823529412,6.51,134,717,34.76,40.2,2647489,17980,1500,2518,26.5,4.4,2.0,85.2
24,Los Angeles,25,3254.0,1.52,36.2,78.8,66.07,1779.0,6.95,223,1439,32.0,35.4,3971883,41490,3400,375,20.5,4.3,5.0,60.6
25,Mumbai,26,2584.0,0.15,3.9,67.3,82.84,1675.7058823529412,6.84,187,1183,19.54,26.1,12478447,1020,500,2422,28.3,24.5,1.0,52.6
26,Boston,27,2634.0,1.39,36.2,78.8,27.03,1779.0,7.09,88,588,46.27,31.9,694583,57630,3100,1109,19.5,2.9,5.5,72.9
27,Dublin,28,1453.0,1.4,25.3,80.5,40.07,1772.0,7.1,159,659,37.35,35.4,553165,63030,2700,714,10.7,3.5,5.0,70.6
28,Tokyo,29,1877.0,0.76,4.3,83.2,42.84,1644.0,5.98,387,5802,70.82,46.1,13515271,27450,2900,1433,25.4,1.8,5.5,82.6
29,Chicago,30,2508.0,1.2,36.2,78.8,43.33,1779.0,7.03,171,1320,41.14,35.3,2716450,45430,2900,991,22.6,6.0,4.0,45.6
30,Hong Kong,31,1836.0,0.75,6.2,75.4,67.46,1675.7058823529412,5.44,277,1257,57.95,44.1,7482500,37120,3400,2219,27.4,1.2,6.0,68.9
31,Shanghai,32,1776.0,0.29,6.2,75.4,77.4,1675.7058823529412,5.93,108,346,44.68,38.5,27060000,11320,1200,1120,22.4,3.5,2.0,65.2
32,Brussels,33,1546.0,2.11,22.1,80.4,62.67,1583.0,6.67,55,988,25.34,38.5,1205542,34260,2600,820,12.6,3.4,4.0,62.5
33,San Francisco,34,3062.0,1.6,36.2,78.8,47.36,1779.0,5.85,242,1031,65.13,38.5,883305,61620,4000,617,15.8,2.2,6.0,62.4
34,Paris,35,1662.0,1.95,21.6,81.8,65.1,1505.0,6.63,331,4363,35.93,39.0,2148271,31980,3100,641,16.5,3.1,5.5,56.4
35,Sao Paulo,36,2003.0,0.44,22.1,73.9,79.78,1675.7058823529412,6.38,158,3355,16.07,32.0,12333017,7580,1300,1426,17.9,9.5,2.0,37.5
36,Zurich,37,1566.0,3.2,19.5,82.6,17.31,1557.0,7.54,69,538,73.11,43.0,434008,67160,3700,1126,11.2,3.4,6.5,85.2
37,London,38,1633.0,1.16,27.8,80.4,58.91,1538.0,6.78,433,6417,42.71,36.0,8982000,38910,3400,594,14.1,3.3,5.5,53.3
38,Johannesburg,39,3124.0,0.59,28.3,56.3,61.83,1675.7058823529412,5.36,194,492,24.28,34.0,5957607,7690,1300,713,15.8,22.0,2.0,42.9
39,Milan,40,1915.0,1.15,19.9,82.7,67.19,1718.0,6.47,110,2396,53.49,45.0,1352648,27580,2500,1012,17.9,2.6,4.0,67.2
40,"Washington, D.C.",41,2528.0,1.45,36.2,78.8,39.18,1779.0,7.18,83,744,65.99,34.0,705749,53510,2800,1010,22.8,6.1,5.0,47.2
41,New York,42,2535.0,1.32,36.2,78.8,57.36,1779.0,6.96,359,3081,64.66,38.0,8336817,55740,4000,1223,22.6,4.3,6.0,46.9
42,Moscow,43,1901.0,0.41,23.1,69.5,57.63,1965.0,6.02,322,3206,31.4,40.0,12615279,9270,1200,707,15.5,2.8,2.5,54.7
43,Mexico City,44,2555.0,0.45,28.9,76.4,82.78,2137.0,6.69,192,1313,41.99,28.0,21934845,7330,800,758,17.5,11.1,2.5,36.7
44,Lisbon,45,2806.0,0.99,24.5,82.7,36.1,1768.0,5.66,169,1209,49.69,45.0,547733,15140,1800,711,22.3,2.9,2.0,65.3
